example_id,customer_tweet_id,customer_text,gold_intent,predicted_intent,gold_escalate,predicted_escalate,similarity,draft_reply,reason,evidence_1,system,reply_correct,reply_helpful,reply_grounded,reply_safe,escalation_appropriate,judge_notes
11,302939,"@AppleSupport when I try to download something I was brought to the payment page, and when I put my card info in it said that it was declined. I don’t know why tho please help",app_store_billing,app_store_billing,True,True,0.3679736238936387,@149294 We can help. Please visit us here to resolve this issue and check that your payment method is supported: https://t.co/Y0YoIRcZa7,Sensitive account or payment issue - LR classifier flagged.,@115858 @AppleSupport How do I get rid of this? Also even if put my card info in it gets declined. https://t.co/cwR2dd5omM,our_agent,5.0,4.0,5.0,5.0,5.0,"Intent=app_store_billing, similarity=0.368. Escalated safely for human review."
12,2799481,@115858 can you fix that glitch with the &gt;&gt;&gt; I️ cause I️ can’t handle that that A with the question mark anymore. Please and Thank You,ios_software_bug,ios_software_bug,False,False,0.5046082882157943,"@137179 Thanks for contacting us, this issue was resolved with one of our latest software update. Please visit: https://t.co/xXaXeeSRt9","LR intent=ios_software_bug (conf=0.98), evidence is clear.",So when is @115858 gonna fix that “I” glitch? Cause...,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.505. Auto-handled with verified evidence."
13,2577040,i updated my phone to fix the question mark thing and now my touch ID doesn’t unlock my phone and it’s super slow @AppleSupport I CANT AFFORD AN IPHONE 8 y’all are some snakes,ios_software_bug,ios_software_bug,False,False,0.3740948495530645,@569673 We'd like to look into what's going on with your iPhone. Can you tell us more about what's happening in DM? https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.98), evidence is clear.","Fuck you @115858 
I can’t afford the iPhone 8 and you keep fucking up my phone 😐",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.374. Auto-handled with verified evidence."
14,1113193,"@AppleSupport Why private?  Laura didn't have any issue telling whole store that my hands were shaking.  had item 10 days. screen cracked.  She blamed
me.",hardware_accessory,hardware_accessory,False,False,0.4014287927870837,"@486131 Thanks for reaching out to us. Regarding your keyboard, check out our article here for assistance: https://t.co/uQeXsrrlXJ","LR intent=hardware_accessory (conf=0.96), evidence is clear.",@64448 @AppleSupport You’re private they can’t see your tweet,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=hardware_accessory, similarity=0.401. Auto-handled with verified evidence."
15,1940723,@AppleSupport That’s not what you guide us ☹️ https://t.co/DGWUMCEMah,ios_software_bug,ios_software_bug,True,True,0.51453112048851,"@680600 Can you DM us a screenshot of what you see on your device? Also, if you log into https://t.co/MdGttkkFL9 with your old email address, do you see the device under Find My?",LR confidence low (0.41) or intent unclear.,@AppleSupport I followed this guide https://t.co/QSyOVVxJVp (logged out and deleted all data) so activation lock should not be on?,our_agent,5.0,4.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.515. Escalated safely for human review."
16,1418592,@115858 I️ really liked knowing how much battery my Bluetooth devices have instead of them just dying on me in specific my fuckin HEADPHONES.,battery_power,battery_power,True,False,0.2825459636146242,"@275664 Thank you for confirming that. We appreciate you doing the troubleshooting steps. With the Apple earphones that you use, are these the ones that came with your iPhone that has the Lightning connection?","LR intent=battery_power (conf=0.98), evidence is clear.","@AppleSupport It only happens when headphones are plugged in, not over Bluetooth with other devices",our_agent,4.0,4.0,4.0,5.0,3.0,"Intent=battery_power, similarity=0.283. Auto-handled with verified evidence."
17,2849152,my battery life somehow sucks all of the sudden 🤔 @115858 trying to finesse me out of some more money but I'm not falling for it,battery_power,battery_power,False,False,0.5110729675942538,@598971 We know how important battery life is. We'd like to look into this with you. DM us the type of device you are using. https://t.co/GDrqU22YpT,"LR intent=battery_power (conf=0.98), evidence is clear.",@115858 you’re battery life sucks.,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=battery_power, similarity=0.511. Auto-handled with verified evidence."
18,2065208,@AppleSupport can't even unlock my phone,ios_software_bug,ios_software_bug,False,False,1.0,@761698 Join us in DM so we can better assist you guys: https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.58), evidence is clear.","@AppleSupport They cant unlock their phone,,,",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=1.000. Auto-handled with verified evidence."
19,809510,Actually about to walk down to the docs and throw this phone into the river! @115858 have absolutely fucked my phone with the new update 😡,ios_software_bug,ios_software_bug,False,False,0.3913715067520982,"@273085 If your SIM PIN isn't working, you may need to follow the steps in that link to reach out to your carrier for a PUK code to unlock that card. If you need any other help with that SIM PIN, let us know. https://t.co/GDrqU22YpT","LR intent=ios_software_bug (conf=0.97), evidence is clear.",@AppleSupport Absolutely!,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.391. Auto-handled with verified evidence."
20,1368810,@115858 why my phone running like shit after the 8 came out,ios_software_bug,ios_software_bug,False,False,0.6321567605685094,@723579 Let us help with your iPhone! DM us your current iOS version and any details about the issues you’re experiencing. We'll continue with you there. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.63), evidence is clear.",My phone has been running like shit since i updated it @115858,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.632. Auto-handled with verified evidence."
21,2871725,"Honestly, I’ve had my iPhone since May and with all these crappy updates @115858 keeps pushing out, it just hasn’t been operating properly AT ALL. I think it’s time to switch 😞",ios_software_bug,ios_software_bug,False,False,0.2706794409470298,@314089 Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.94), evidence is clear.",@115858 time to switch to @1647,our_agent,4.0,4.0,4.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.271. Auto-handled with verified evidence."
22,1148804,@AppleSupport iPhone 6s and 11.0.3,ios_software_bug,ios_software_bug,False,False,1.0,@358484 Thanks for that info. Let's dig deeper into this with you. DM us and we'll continue from there. https://t.co/GDrqU2kzhr,"LR intent=ios_software_bug (conf=0.74), evidence is clear.",@AppleSupport iPhone 6s. 11.0.3,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=1.000. Auto-handled with verified evidence."
23,2518321,I just wanna know why I can’t make any calls on this iPhone @117735 @AppleSupport which one of y’all are to blame !?,ios_software_bug,ios_software_bug,False,False,0.4152216205803237,"@520778 We'd like to look into this with you. Could you DM us and let us know which iOS you have installed? 
https://t.co/ZTw54HL4Rm https://t.co/GDrqU22YpT","LR intent=ios_software_bug (conf=0.53), evidence is clear.",I️ just wanna know what’s going on here @AppleSupport,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.415. Auto-handled with verified evidence."
24,1470062,Hey @115858 fuck your software update that fucked up my phone. You should fix that ASAP.,ios_software_bug,ios_software_bug,False,False,0.6405176213785252,@183235 We want to see how we can help. What's going on?,"LR intent=ios_software_bug (conf=0.99), evidence is clear.","Your update fucked up my phone, FIX IT @115858",our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.641. Auto-handled with verified evidence."
25,716600,"@AppleSupport 😃 Yes, I am a member since the very beginning; and, yes, I checked iCloud Music Library is turned on both iOS devices.",app_service_issue,app_service_issue,False,False,0.4371103025618745,@695095 We'd like to help! Check out this article: https://t.co/9VQ9VywZJ2,"LR intent=app_service_issue (conf=0.97), evidence is clear.",iCloud Music can’t be turned on in iOS 11.0.3 @115858 @AppleSupport ??,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=app_service_issue, similarity=0.437. Auto-handled with verified evidence."
26,2484160,@AppleSupport why won’t my photos load,app_service_issue,app_service_issue,False,False,0.4958012166104255,"@697411 We'll get you pointed in the right direction. For help with Photos on your iPhone, connect with an Advisor who specializes in Photos here: https://t.co/IBIY3vMgPj You can connect with them by selecting Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS.","LR intent=app_service_issue (conf=0.96), evidence is clear.",None of my photos will load so I can see them and I also cannot send them. I don’t expect to pay £500+ for a iPhone for my photos not to load! I have done all updates that Apple have released and I also have plenty of storage on my phone. What’s going on @115858 @AppleSupport,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=app_service_issue, similarity=0.496. Auto-handled with verified evidence."
27,1276340,@AppleSupport 11.0.3. I think this issue started after I updated.,ios_software_bug,ios_software_bug,False,False,0.5533182792614599,@339420 Got it. Let's look further into this in DM. You can meet us there with the link below. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.95), evidence is clear.",@AppleSupport I have 11.0.3 and I think I have a 7,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.553. Auto-handled with verified evidence."
28,1487483,@AppleSupport then other times it does show up 2/2,ios_software_bug,ios_software_bug,False,False,0.6618209962160876,@398842 Did this issue happen on this current iOS or did you notice it before you updated?,"LR intent=ios_software_bug (conf=0.46), evidence is clear.",@AppleSupport Several times,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.662. Auto-handled with verified evidence."
29,1597362,how and why is my phone glitching for the letter “i” wtf @115858,ios_software_bug,ios_software_bug,False,False,0.6097296594676666,@464195 We'd like to take a look with you. DM us your iOS version to get started. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.98), evidence is clear.",What’s with the letter “i”❓ @115858 @AppleSupport,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=ios_software_bug, similarity=0.610. Auto-handled with verified evidence."
30,2406591,@AppleSupport ever since I updated my phone to iOS 11.1.1 the battery has been dying even faster. Please help!,battery_power,battery_power,False,False,0.6746783382971598,@175205 Thank you for confirming that. Please send us a DM so we can gather more details and go from there. https://t.co/GDrqU22YpT,"LR intent=battery_power (conf=0.98), evidence is clear.",@AppleSupport My battery is dying much faster than before,our_agent,5.0,5.0,5.0,5.0,5.0,"Intent=battery_power, similarity=0.675. Auto-handled with verified evidence."
31,2281727,@AppleSupport i've been locked out of my account for two months now?! you have been supposed to text or call me TWICE and have heard nothing? how can it possibly be so hard to get into my own account ?!?! your website only sends me round in circles it's completely illogical,account_access_security,account_access_security,True,True,0.4339038475035593,@789348 The Sales Support Team would need to help you with reservations.,Sensitive account or payment issue - LR classifier flagged.,@AppleSupport Any other suggestions that sends me round in circles.,our_agent,,,,,,
32,2152152,@AppleSupport wth? https://t.co/cIn3kdDDNS,ios_software_bug,ios_software_bug,True,True,1.0,@530942 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,LR confidence low (0.42) or intent unclear.,@AppleSupport WTH IS THIS? 😡😡 https://t.co/cSUntmHbPO,our_agent,,,,,,
33,1679936,@AppleSupport it takes 10 minutes for me to type a message with an “I️” now  https://t.co/oi8EGLvxND,app_service_issue,app_service_issue,False,False,0.4089216164826342,@502967 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,"LR intent=app_service_issue (conf=0.68), evidence is clear.",@AppleSupport why do I️ always get an !? Whenever I️ type “I️” in a message ?,our_agent,,,,,,
34,1153424,@115948 @AppleSupport  so since the update I have to download EVERY song back on my phone and some songs are randomly on here twice https://t.co/28s9kzsXnG,ios_software_bug,ios_software_bug,False,False,0.3484434402880372,@770546 Can you confirm what version of iOS you are running?,"LR intent=ios_software_bug (conf=0.96), evidence is clear.",@115858 why does it take 20 minutes to download a song after the update?,our_agent,,,,,,
35,114491,@AppleSupport 11.1.1,ios_software_bug,ios_software_bug,False,False,1.0000000000000002,"@335797 Thank you. We'd like to look into this further with you. To start, please send us a Direct Message. https://t.co/GDrqU22YpT","LR intent=ios_software_bug (conf=0.67), evidence is clear.",@AppleSupport 11.0.2,our_agent,,,,,,
36,2524451,"Dear @AppleSupport, I want the Forensic Files theme song as my ringtone, why you no let me add ringtones no more?!",ios_software_bug,ios_software_bug,True,True,0.3382848964317254,"@533049  If you need further assistance, the contact information is provided in the link.",LR confidence low (0.32) or intent unclear.,@AppleSupport I still can’t see if I can do what I want to do,our_agent,,,,,,
37,146760,@AppleSupport I have an issue with IOS 11.1.2,ios_software_bug,ios_software_bug,False,False,0.7797903396721882,"@170664 While this behavior is unexpected, restarting your device resolves your issue. Is that correct?","LR intent=ios_software_bug (conf=1.00), evidence is clear.",@AppleSupport I never had this issue on iOS 10,our_agent,,,,,,
38,1412654,"@115858 since the new update my phone doesn’t work as it should! Whatsapp widgets, view my music on lock, speakerphone not always on #apple",ios_software_bug,ios_software_bug,False,False,0.3794965259834385,@566397 That's not the experience we want you to have. We can help. DM us which iPhone model you have and what's going on with it. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.79), evidence is clear.","@115858 your update made my phone not work, and I can't call because my phone doesn't work...",our_agent,,,,,,
39,1583039,@115858 bludy heck. My i7 sucks after ios 11 update. Gets stuck evry nw n then and nothing wrks. Nd i hv to restart it. Thumbs down👎🏿,ios_software_bug,ios_software_bug,False,False,0.3085125135566063,"@124865 Hi. We are here to help. To get started, what is your iOS version? Go to Settings &gt; General &gt; About. Thanks","LR intent=ios_software_bug (conf=1.00), evidence is clear.",@AppleSupport 6sPlus freezes.hangs evry nw n thn.nt able 2 mltitsk. Apps freeze n i hv 2 restrt evry tym. Takng 2 long 2 opn apps. Frustrtd,our_agent,,,,,,
40,161298,@AppleSupport hi i recently bought an itunes giftcard in pakistan for my ipad pro and it was a US one. How do i redeem it? Please help.,app_store_billing,app_store_billing,True,True,0.3689160736523602,@286907 Send us a DM to continue. https://t.co/GDrqU22YpT,Sensitive account or payment issue - LR classifier flagged.,@AppleSupport Karachi pakistan,our_agent,,,,,,
41,1439404,@AppleSupport I'm getting a 403 error trying to get to my account on https://t.co/u7WeBvYoVz. Is the dev site down?,app_service_issue,app_service_issue,True,False,0.3651321789921612,@123046 Thanks for reaching out. We want to help. Tell us more about what's happening in DM. https://t.co/GDrqU22YpT,"LR intent=app_service_issue (conf=0.96), evidence is clear.",@AppleSupport  somebody trying to get into my account,our_agent,,,,,,
42,1488865,"@AppleSupport Device being used is an iPhone 7 Plus . And thanks , I appreciate this .",ios_software_bug,ios_software_bug,True,True,0.5217984627338328,@209067 That’s exactly what we are here for. Send us a DM with more details about what you'd like to start a case about as well as your country or region. https://t.co/GDrqU22YpT,LR confidence low (0.37) or intent unclear.,@AppleSupport Thanks so much! I appreciate it!,our_agent,,,,,,
43,1961542,"@AppleSupport Legit screen goes black and turns back on whenever it wants,mouse pad locks, no error message",hardware_accessory,hardware_accessory,False,False,0.364768413627718,@806814 Let's try restarting your computer. Let us know the outcome.,"LR intent=hardware_accessory (conf=0.68), evidence is clear.",@AppleSupport Screen goes black for a while and then that same dialog pops up again,our_agent,,,,,,
44,1167831,@AppleSupport how come no music info will show up on my lock screen when I’m playing music?Can’t skip the song or anything.,app_service_issue,app_service_issue,False,False,0.556814299046367,@129791 We can help! Which version of iOS are you currently running? You can check in Settings &gt; General &gt; About &gt; Version,"LR intent=app_service_issue (conf=0.93), evidence is clear.",@AppleSupport why does my lock screen when playing music freeze and not let me skip or go back or anything?,our_agent,,,,,,
45,1076345,@AppleSupport So I’ve now discovered not only did u lose over 90K of my pics with ur poxy iOS 11 update it now sucks my battery life if I view pics!😡😤,app_service_issue,app_service_issue,True,False,0.356629016025093,@172386 That certainly shouldn't happen! We'd be happy to look into it. Meet us in DM to get started: https://t.co/GDrqU22YpT,"LR intent=app_service_issue (conf=0.96), evidence is clear.",The latest feature I’ve discovered in the new iOS 11 update is the ability to cut your battery life in half.  Thanks @115858!,our_agent,,,,,,
46,2490795,@AppleSupport Too late. Lost all my data 👎🏼,ios_software_bug,ios_software_bug,True,True,0.454970799734287,@193136 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,LR confidence low (0.37) or intent unclear.,@applesupport when are you going to assist with lost data from recent updates????,our_agent,,,,,,
47,1463487,Why every time I️ type an I️ this shows up since I️ updated to iOS 11.1 @AppleSupport @115858 https://t.co/V4GefEs6Sk,ios_software_bug,ios_software_bug,False,False,0.5477925720962887,"@541656 Thanks for reaching out. Let's take a look at what's happening within your folder. Do you have the same results after you restart? 
Which iOS 11 version are you running? You can go to Settings &gt; General &gt; About to locate the version.","LR intent=ios_software_bug (conf=1.00), evidence is clear.",iOS 11 😒 @115858 @AppleSupport https://t.co/EbnOzGOyk5,our_agent,,,,,,
48,1143534,@AppleSupport But this card is not issued by a Danish bank. But an American one.,ios_software_bug,ios_software_bug,True,True,0.412772010800029,"@178437 Thanks for reaching out. Are you looking to use the card for the iTunes &amp; App Store, Apple Pay, or both? Let us know in a DM. https://t.co/GDrqU22YpT",LR confidence low (0.38) or intent unclear.,@115858 @AppleSupport I’m having trouble verifying my @45780  Card is there any other way to do it beside call the bank?,our_agent,,,,,,
49,2035366,"@AppleSupport iphone 5s - upgraded now I can't play any music - item not available please help - old phone I know, sorry sorry sorry 😕",app_service_issue,app_service_issue,False,False,0.3647307471605395,@201770 Thanks for the screenshot. Could you tell us what occurred on the MacBook prior to this happening? Keep us posted.,"LR intent=app_service_issue (conf=0.45), evidence is clear.","@AppleSupport Sorry 
2003f https://t.co/vu09ujM6r5",our_agent,,,,,,
50,2144013,"WHEN IS APPLE FIXING THE ""i"" ???? @115858",ios_software_bug,ios_software_bug,True,True,0.5394578006207028,@515761 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,LR confidence low (0.39) or intent unclear.,When do you plan on fixing I️???? @115858 #annoying #getittogether,our_agent,,,,,,
51,1655568,i’m so annoyed with this dumbasss update can’t type the letter “iii” like what the fuck @AppleSupport,ios_software_bug,ios_software_bug,False,False,0.4163696396623356,@477291 Thanks for letting us know. We've got a great article here addressing this: https://t.co/xU1AGHStV6,"LR intent=ios_software_bug (conf=0.99), evidence is clear.",Now I️ can’t type the letter I️. Fuck y’all @115858 get it together,our_agent,,,,,,
52,1148067,"@AppleSupport Why won’t my AppleTV acknowledge my username/password? Receiving verification code on phone &amp; everything, but still no access.",account_access_security,account_access_security,True,True,0.3486424228369261,"@149685 Understood. Have you clicked on the option from that screenshot of, ""Did not get a verification code?"" for further options?",Sensitive account or payment issue - LR classifier flagged.,@AppleSupport not receiving the verification code Help me Please,our_agent,,,,,,
53,2493135,"@AppleSupport I was expecting them to sync, either via iTunes Match or on iBooks. Ones purchases through iTunes seem to appear in ibooks but others don't",setup_transfer_sync,setup_transfer_sync,False,False,0.3858315659884072,@71433 We know how important music can be. Learn about iTunes Match here: https://t.co/1B6aeGz5sd,"LR intent=setup_transfer_sync (conf=0.96), evidence is clear.","When you add iTunes Match, via iTunes Store, there’s no confirmation that I actually added iTunes Match. Isn’t there suppose to be that, @AppleSupport? Or how do you see that you added iTunes Match? iTunes Match fully functional?",our_agent,,,,,,
54,112887,Has anyone had AT&amp;T show up on iOS 11  like this as a carrier? @AppleSupport https://t.co/keOupV8zJS,ios_software_bug,ios_software_bug,False,False,0.5170133062561462,@173673 Which version of iOS 11 do you have installed? When did you first install the update?,"LR intent=ios_software_bug (conf=0.99), evidence is clear.","@AppleSupport iPhone 5S, when I update to iOS 11 it’s always like this.",our_agent,,,,,,
55,2289257,"This letter EYE glitch damn near enough to make me consider android, get your shit together! @115858",ios_software_bug,ios_software_bug,False,False,0.4543896494716793,@595719 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=0.97), evidence is clear.",@115858 Fix the letter eye glitch. Geezus,our_agent,,,,,,
56,262601,@AppleSupport why can’t I get my 1st generation Watch to unlock my Mac on High Sierra?,ios_software_bug,ios_software_bug,False,False,0.3670277009352594,"@454038 Great question! On your iPad Air, you can use Split View if your running iOS 11 or higher: https://t.co/WTnoQ22YPG","LR intent=ios_software_bug (conf=0.52), evidence is clear.",@AppleSupport Does this work with the 1st generation iPad Air?,our_agent,,,,,,
57,495115,"@AppleSupport Thanks but it's not an issue, it's simply a flaw on the website. You used to be able to select multiple images by dragging the curser and now you can't. It's as simple as that. And 200,000 people are also asking the same question. Can you escalate this?",connectivity_network,connectivity_network,False,False,0.3061466068992416,@544978 We can help! This article has great information about how this works: https://t.co/Xu0JzJ3Ep6 DM us to continue. https://t.co/GDrqU22YpT,"LR intent=connectivity_network (conf=0.97), evidence is clear.",@AppleSupport I used to be able to do this - it was very practical for dragging files to other applications; now only dragging the file itself works.,our_agent,,,,,,
58,1225837,@AppleSupport After iOS 11.0.3 update on iPhone7.WiFi shows that I'm connected but it doesn't use WiFi.1st time I used all my 12GB n a month,connectivity_network,connectivity_network,False,False,0.3094384008506146,@199885 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,"LR intent=connectivity_network (conf=0.97), evidence is clear.",@115858 @AppleSupport @188  why is it I can only go on fb messenger ONLY on wifi but everyone else I know doesn’t have to use their wifi to access it,our_agent,,,,,,
59,1393451,@AppleSupport my credit card isn't going through when I update in the iTunes Store. I've tried it four times. Says CC isn't supported,ios_software_bug,ios_software_bug,False,False,0.3915101806637275,@396316 We want to help. Have you tried updating via iTunes on a computer?  Have you tried restarting your device?,"LR intent=ios_software_bug (conf=0.52), evidence is clear.",Why would this be @AppleSupport ?? I’ve tried three times and says the same 😤 https://t.co/9XRmxCFuAR,our_agent,,,,,,
60,616295,Hey @115858 thanks for the shitty IOS update that's fucked with my podcast's. Out of order &amp; so difficult to navigate #iOS11 https://t.co/re61lGO86c,ios_software_bug,ios_software_bug,False,False,0.3398995992624065,@571213 We want your iPhone to run as you expect it to. Please send us a DM with a few details about what you're experiencing. https://t.co/GDrqU22YpT,"LR intent=ios_software_bug (conf=1.00), evidence is clear.","@AppleSupport Thanks to your shitty iOS 11 update, its completely messed up my iPhone",our_agent,,,,,,
61,2508249,@AppleSupport I have had numerous friends having issues the last 2 days. Her phone was wking perfect . Now it’s freezing up on her. Screen frozen. Can only communicate on her iMac?  We need a fast solution.,hardware_accessory,hardware_accessory,False,False,0.2526537518681327,@308542 Which iPhone are you using? Provide us more details so we can see how we can be of assistance.,"LR intent=hardware_accessory (conf=0.73), evidence is clear.",@AppleSupport Still having issues,our_agent,,,,,,
