example_id,customer_tweet_id,customer_text,brand_reply,label_notes,labeler,intent,gold_escalate,label_source,label_confidence
22,1148804,@AppleSupport iPhone 6s and 11.0.3,@390344 Thanks for clarifying. We'd like to take a closer look into this in DM. Send us a message and we will follow up there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.758
23,2518321,I just wanna know why I can’t make any calls on this iPhone @117735 @AppleSupport which one of y’all are to blame !?,"@543193 We're here to help and can certainly take a look into what's going on. To help get us started, we see we previously suggested an update to iOS 11.1.1. Did you have the chance to perform that update? May we also get a detailed description of what's happening?",,,ios_software_bug,False,lr_override,0.5359
24,1470062,Hey @115858 fuck your software update that fucked up my phone. You should fix that ASAP.,"@461211 If you're having issues, we want to help. Reach out to us in DM and let us know what's going on. https://t.co/GDrqU22YpT",,,ios_software_bug,False,rule_based,1.0
25,716600,"@AppleSupport 😃 Yes, I am a member since the very beginning; and, yes, I checked iCloud Music Library is turned on both iOS devices.",@262987 Sign out and back into the iTunes Store. Be aware that this will remove Apple Music saved for offline play. Reach us in DM next. https://t.co/GDrqU22YpT,,,app_service_issue,False,rule_based,0.6667
26,2484160,@AppleSupport why won’t my photos load,@572761 We understand how important your photos can be. We're here to help. Please meet us in DM and we'll work towards a resolution together. https://t.co/GDrqU22YpT,,,app_service_issue,False,rule_based,1.0
27,1276340,@AppleSupport 11.0.3. I think this issue started after I updated.,"@418756 Thanks. Have you tried setting it to another interval, just so see if it locks?  How long ago did you update the iOS?",,,ios_software_bug,False,rule_based,1.0
28,1487483,@AppleSupport then other times it does show up 2/2,@140191 Let's look into this together to see what's going on. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.4714
29,1597362,how and why is my phone glitching for the letter “i” wtf @115858,@490698 Let's try the steps listed in this article. https://t.co/xU1AGHStV6. Let us know if you need any further help.,,,ios_software_bug,False,rule_based,1.0
30,2406591,@AppleSupport ever since I updated my phone to iOS 11.1.1 the battery has been dying even faster. Please help!,@692117 We know how important it is to have your iPhone performing its best. Let's look into this further together. Please send us a DM telling us which iPhone you have and the country you're located in. https://t.co/GDrqU22YpT,,,battery_power,False,expert_audit,0.6667
31,2281727,@AppleSupport i've been locked out of my account for two months now?! you have been supposed to text or call me TWICE and have heard nothing? how can it possibly be so hard to get into my own account ?!?! your website only sends me round in circles it's completely illogical,@663231 We're happy to work with you and get this figured out. Did you set up account recovery? Please send us a DM. https://t.co/GDrqU22YpT,,,account_access_security,True,expert_audit,1.0
32,2152152,@AppleSupport wth? https://t.co/cIn3kdDDNS,"@632415 We'd like to help. Just to make sure we're on the same page, your iPhone is missing the status bar at the top of the screen? Let us know more via DM. We'll go from there. https://t.co/GDrqU22YpT",,,ios_software_bug,True,lr_override,0.4169
33,1679936,@AppleSupport it takes 10 minutes for me to type a message with an “I️” now  https://t.co/oi8EGLvxND,@510855 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,app_service_issue,False,rule_based,1.0
34,1153424,@115948 @AppleSupport  so since the update I have to download EVERY song back on my phone and some songs are randomly on here twice https://t.co/28s9kzsXnG,"@342728 We'd be happy to look into what's going on. To start, can you tell us which device and OS version you're using?",,,ios_software_bug,False,rule_based,1.0
35,114491,@AppleSupport 11.1.1,"@141456 The latest version of iOS is 11.1.2. Let's go ahead and update following these steps: https://t.co/ahjigcvFRG Let us know if the issue persists afterward, and we'll continue from there.",,,ios_software_bug,False,lr_override,0.707
36,2524451,"Dear @AppleSupport, I want the Forensic Files theme song as my ringtone, why you no let me add ringtones no more?!","@718873 You can still add ringtones to iOS devices. So we can better assist, may we get the iOS version and what device you're wanting to add a tone too? Also, are you trying to sync tones using iTunes?",,,ios_software_bug,True,lr_override,0.3749
37,146760,@AppleSupport I have an issue with IOS 11.1.2,@288336 We’re here to help. Tell us a bit about what is happening and we’ll work with you to find a solution.,,,ios_software_bug,False,rule_based,1.0
38,1412654,"@115858 since the new update my phone doesn’t work as it should! Whatsapp widgets, view my music on lock, speakerphone not always on #apple","@448280 Let’s work together to get your iPhone working as expected. To start, can you tell us the version of iOS 11 it’s on?",,,ios_software_bug,False,lr_override,0.7731
39,1583039,@115858 bludy heck. My i7 sucks after ios 11 update. Gets stuck evry nw n then and nothing wrks. Nd i hv to restart it. Thumbs down👎🏿,@487220 Can you please send us a DM with your version of iOS 11? We will go from there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
40,161298,@AppleSupport hi i recently bought an itunes giftcard in pakistan for my ipad pro and it was a US one. How do i redeem it? Please help.,@153212 Great question. iTunes Gift Cards are specific to your country so a US gift card would need to be redeemed in the US iTunes Store. Check out this article for more information: https://t.co/aeIUyI7e1H,,,app_store_billing,True,expert_audit,1.0
41,1439404,@AppleSupport I'm getting a 403 error trying to get to my account on https://t.co/u7WeBvYoVz. Is the dev site down?,@454046 Thanks for reaching out. You can contact our Developer Support team here: https://t.co/MN29maiV1D,,,app_service_issue,True,expert_audit,0.2526
42,1488865,"@AppleSupport Device being used is an iPhone 7 Plus . And thanks , I appreciate this .",@465810 Thank you. Send us a Direct Message by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,,,ios_software_bug,True,lr_override,0.3988
43,1961542,"@AppleSupport Legit screen goes black and turns back on whenever it wants,mouse pad locks, no error message",@581718 Which Mac model and macOS version are you using? Let us know in a Direct Message where we'll continue teaming up. https://t.co/GDrqU22YpT,,,hardware_accessory,False,lr_override,0.6123
44,1167831,@AppleSupport how come no music info will show up on my lock screen when I’m playing music?Can’t skip the song or anything.,@394688 Let's work on this together. Which device and iOS version are affected? Does this happen consistently or is it intermittent?,,,app_service_issue,False,lr_override,0.882
45,1076345,@AppleSupport So I’ve now discovered not only did u lose over 90K of my pics with ur poxy iOS 11 update it now sucks my battery life if I view pics!😡😤,@373975 We do want to help you get to the bottom of this. Send us a DM and we'll look into this further with you. https://t.co/GDrqU22YpT,,,app_service_issue,True,expert_audit,0.6667
46,2490795,@AppleSupport Too late. Lost all my data 👎🏼,@711187 We want to help. Do you have a backup we can restore your iPhone from and did you use the iCloud at all? DM us and we'll work with you on these issues there. https://t.co/GDrqU22YpT,,,ios_software_bug,True,lr_override,0.3788
47,1463487,Why every time I️ type an I️ this shows up since I️ updated to iOS 11.1 @AppleSupport @115858 https://t.co/V4GefEs6Sk,@459684 Send us a DM and we'll provide some additional guidance on this. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
48,1143534,@AppleSupport But this card is not issued by a Danish bank. But an American one.,"@389148 The link also lists cards for the Unites States, but if you are still getting an error, you'll need to reach out to Bank of America.",,,ios_software_bug,True,lr_override,0.3733
49,2035366,"@AppleSupport iphone 5s - upgraded now I can't play any music - item not available please help - old phone I know, sorry sorry sorry 😕","@601743 No worries, we're here to help. Does this occur with all music or certain songs/albums? DM us your reply to continue. https://t.co/GDrqU22YpT",,,app_service_issue,False,rule_based,1.0
50,2144013,"WHEN IS APPLE FIXING THE ""i"" ???? @115858",@630361 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,ios_software_bug,True,lr_override,0.4005
51,1655568,i’m so annoyed with this dumbasss update can’t type the letter “iii” like what the fuck @AppleSupport,@344661 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,ios_software_bug,False,rule_based,1.0
52,1148067,"@AppleSupport Why won’t my AppleTV acknowledge my username/password? Receiving verification code on phone &amp; everything, but still no access.",@390192 Let's get you in the right place for your Apple TV. Reach out to an Apple TV Advisor here: https://t.co/IBIY3vMgPj,,,account_access_security,True,rule_based,1.0
53,2493135,"@AppleSupport I was expecting them to sync, either via iTunes Match or on iBooks. Ones purchases through iTunes seem to appear in ibooks but others don't","@711720 OK, have you already tried to sync your audiobooks using iTunes on your computer? Check this out: https://t.co/biks8MpbiM",,,setup_transfer_sync,False,expert_audit,0.5
54,112887,Has anyone had AT&amp;T show up on iOS 11  like this as a carrier? @AppleSupport https://t.co/keOupV8zJS,@141094 We'd be glad to assist with this. Which region is the iPhone set to? Which device model and iOS version? Let us know in DM. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
55,2289257,"This letter EYE glitch damn near enough to make me consider android, get your shit together! @115858","@665063 iOS 11.1.1 was released today to assist with the auto correct issue. If you haven’t yet, please back up your device and update. DM us for any questions. For more info, check out: https://t.co/ui8Itz8ESg https://t.co/GDrqU22YpT",,,ios_software_bug,False,rule_based,1.0
56,262601,@AppleSupport why can’t I get my 1st generation Watch to unlock my Mac on High Sierra?,@178555 We want to look into this with you. What happens when you try?,,,ios_software_bug,False,lr_override,0.5039
57,495115,"@AppleSupport Thanks but it's not an issue, it's simply a flaw on the website. You used to be able to select multiple images by dragging the curser and now you can't. It's as simple as that. And 200,000 people are also asking the same question. Can you escalate this?",@233063 We do recognize the value in you wanting the feature back. Please let our engineers know by visiting this link and letting your voice be heard: https://t.co/eTPVYVFyd8,,,connectivity_network,False,rule_based,1.0
58,1225837,@AppleSupport After iOS 11.0.3 update on iPhone7.WiFi shows that I'm connected but it doesn't use WiFi.1st time I used all my 12GB n a month,"@407576 Let's take a look. Navigate to: Settings &gt; Cellular, then scroll to the bottom and let us know if ""Wi-Fi Assist"" is enabled.",,,connectivity_network,False,lr_override,0.824
59,1393451,@AppleSupport my credit card isn't going through when I update in the iTunes Store. I've tried it four times. Says CC isn't supported,@444073 Let's get you pointed in the right direction. Reach out to our experts at iTunes Support for assistance: https://t.co/SDIe7UA9Bl https://t.co/GDrqU2kzhr,,,ios_software_bug,False,rule_based,1.0
60,616295,Hey @115858 thanks for the shitty IOS update that's fucked with my podcast's. Out of order &amp; so difficult to navigate #iOS11 https://t.co/re61lGO86c,@266253 We're here to help. How are your podcasts out of order? Let us know in DM. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
61,2508249,@AppleSupport I have had numerous friends having issues the last 2 days. Her phone was wking perfect . Now it’s freezing up on her. Screen frozen. Can only communicate on her iMac?  We need a fast solution.,@518293 We would be glad to help with this. Let’s continue in DM. https://t.co/GDrqU22YpT,,,hardware_accessory,False,rule_based,1.0
62,1828559,@115858 updated my iPhone software yesterday... now battery drains quickly.  Dropped 10% in 20 minutes without usage and all apps closed.,"@548769 Hey, let's work together to see what's going on with the battery life. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT",,,battery_power,False,rule_based,0.5
63,400381,My #AppleWatch 1st gen lasted two years. #Series 3? #ForceTouch dead after six days. #Bummer @AppleSupport,@210679 We'd like to take a look at this with you. Let's continue in DM. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.5028
64,712522,My phone keeps on crashing since I updated it 😠 #iOS11 👎🏻 #ios11update 👎🏻 @115858,@290398 We want to look into this. Is there a certain app that crashes or is it at random?,,,ios_software_bug,False,rule_based,1.0
65,1122194,@AppleSupport I have 5s phone which is hang since today morning. Please help. https://t.co/WjDQBg9CPW,"@384682 We'd be honored to help out! Is this behavior occurring in multiple apps, or specifically in this app?",,,ios_software_bug,False,lr_override,0.4826
66,1900229,Whatever happened to @115858 having good customer service. Seriously thinking about what my next device will be. signed #previousfanboy,@566289 Thanks for reaching out to us. Can you please send us a DM and let us know the issue that you are having? https://t.co/GDrqU22YpT,,,ios_software_bug,True,lr_override,0.416
67,2792074,"Hey @applesupport, any idea why my Android phone maintains hotel wifi connection reliably but every time my iPhone goes dark it drops from the wifi network? It's consistent &amp; maddening.","@758309 We want to help you with Wi-Fi on your iPhone. DM us, and let us know what iPhone you have. We'll look into this. https://t.co/GDrqU22YpT",,,connectivity_network,False,rule_based,1.0
68,2073165,"Dear @AppleSupport ,

Can you please fix how iOS 11 kills my battery on my iPhone 6?

 Thanks.",@613176 We'd love to help with your battery life! Which version of iOS 11 are you updated to? Send us a DM to continue. https://t.co/GDrqU22YpT,,,battery_power,False,rule_based,0.5
69,1058144,@AppleSupport Maps Destination widget not working #iOS11 #iPhone8Plus. Says turn on Significant Locations but they're already on. Ideas?,@369830 We'd be happy to look into this. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.7204
70,2492387,"3rd @applesupport phishing call, spoofing 718-489-1540 Elmhurst Queens. 
I’m now blocking calls from my local Apple retail branch.
@115858 if this continues it will impact the ability of your stores to sell products &amp; customers to receive legitimate tech support. https://t.co/5g6TStvErh",@711545 It's good you're identifying this. We've got a path to report this type of thing. You can find out all the details here: https://t.co/LNMCdqt6fD,,,account_access_security,True,rule_based,1.0
71,2081291,I put my phone on dnd...... Why am I still being disturbed?@AppleSupport,@615489 We'd be happy to help with the Do Not Disturb feature. Can you DM us your version of iOS and what's happening exactly? https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.6327
72,2862161,Hey @AppleSupport what the hell is going on with your guys service and the ability to send photos lately?? iOS 11 blowsssssssss,@795096 Thanks for reaching out. We'd like to help. What's happening when you try to send photos?,,,ios_software_bug,False,lr_override,0.7445
73,2070496,"IOS 11 is a big shit. I want go back to IOS 10.3.3. I can't use my iphone 6, it have bug and freeze @116333 @AppleSupport","@612319 We want you to be able to use and enjoy your iPhone, and we'd like to help. DM us with the country where you're located to start. https://t.co/GDrqU22YpT",,,ios_software_bug,False,rule_based,1.0
74,1138402,IOS WHAT THE HELL IS WRONG WHY DO THESE BOXES KEEP SHOWING UP. @115858 FIX THIS SHIT.,@388143 Let's work together to get this resolved. Which version of iOS do you have currently installed on your device?,,,ios_software_bug,False,rule_based,1.0
75,2756849,"I’m suing Apple I lost all my contacts and photos and everything and my shit keeps freezing it took 20 minutes to type this cause the keyboard is fucked up I ain’t buying a 1,000 dollar phone nigga @115858",@771555 We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.6435
76,2412489,"@AppleSupport Tried restarting, Siri still randomly coming on, music stops playing randomly",@693551 Do you have a different pair of headphones you could use to test with? Does the same issue occur? Please DM us your answer. https://t.co/GDrqU22YpT,,,app_service_issue,False,rule_based,1.0
77,58826,@AppleSupport why can’t I️ say I️ when I️ text.,@129394 We've received your DM as well. We're on our way there to begin assisting. Please await our response. https://t.co/GDrqU22YpT,,,ios_software_bug,True,lr_override,0.3935
78,865944,"@AppleSupport It's an iPhone 6... and no joke, I can watch the % drop within minutes of it coming off the charge 😕",@325631 Got it. We want to have a closer look. Let's continue in DM. https://t.co/GDrqU22YpT,,,battery_power,False,expert_audit,0.5
79,1691708,@115858 please fucking fix I️ this bullshit everyone is tired we can’t deal with this,@513508 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,ios_software_bug,False,lr_override,0.6538
80,2286626,@AppleSupport I’m using an iPhone 5s. Running on iOS 11.2 Developer Beta 2 (15C5097d),@276120 Got it. Let us get you to reply back in a Direct Message. We’ll keep moving forward from there. Use this link: https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
81,127655,I just broke a iMovie 😂🤷🏼‍♂️ @AppleSupport,"@144688 Thanks for reaching out to us for support. We would love to help you. To get support with the issue that you’re experiencing with iMovie, please contact our  team here: https://t.co/IBIY3vMgPj",,,ios_software_bug,True,lr_override,0.3355
82,1811876,@AppleSupport ALL OF MY PICTURES ARE GONE AFTER I UPDATED MY PHONE,@544363 We'd be happy to look into this with you. Send us a DM and we'll see what we can do to get your pictures back. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
83,2202169,@AppleSupport Alarm app moved on watch OS 4 doesn’t make vibration correctly at the time  I set. Pls let me know how I can set things right.,"@643979 We know how important the alarm is. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",,,ios_software_bug,True,lr_override,0.4136
84,304064,"@AppleSupport iphne completely jamming had to press power and home button didn’t worked either, AppStore Twitter jam re-download but WiFi turn on itself",@188598 Thanks for the information. Let's continue working on this via DM so we can dig into some other options. https://t.co/GDrqU22YpT,,,connectivity_network,False,lr_override,0.6759
85,2327780,Major fix needed ASAP @115858. Having iOS11 turn Bluetooth back on everyday at 5am is unacceptable. I turn it off —&gt; for a reason.,@674131 We want to help you with this. How are you switching off your Bluetooth? Letting us know the steps you take would help us.,,,connectivity_network,True,lr_override,0.3283
86,328082,@AppleSupport iPhone SE and yes i have on 2 different wifi connections,@194216 We'll be happy to assist as best we can. DM us and we'll continue from there. https://t.co/GDrqU22YpT,,,connectivity_network,False,rule_based,1.0
87,1082417,@AppleSupport I need to wipe out my iPad Pro 10.5 and restore from a back up. How do I do that?,@260892 We'd love to help with this. This article has a link to wiping and instructions for restoring: https://t.co/swvuDDw4sj,,,setup_transfer_sync,True,lr_override,0.3921
88,1332728,Altro bug #iOS11 rotazione fotocamera in landscape mode .. taglia la visualizzazione @AppleSupport,@276435 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,ios_software_bug,False,rule_based,0.6667
89,1998500,"Random characters appearing when I️ try to type, further proving that iOS 11 is a fucking embarassment to technology. Wtf happened @115858 ??",@590913 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,,,ios_software_bug,False,rule_based,1.0
90,926446,"@AppleSupport the regular iPhone 7, it has its latest update. but yes, the audio doesn’t work with headphones","@339826 Are you using the EarPods that came with your iPhone 7? Also, does audio work with other headphones?",,,ios_software_bug,False,lr_override,0.7442
91,2804338,@AppleSupport any clue on this https://t.co/64vlHO1SUt,@782202 We'd be glad to help. What were you doing when this screen appeared?,,,ios_software_bug,True,lr_override,0.4296
92,2111400,@AppleSupport hi! Sent u a dm. Please check.,@622779 We've received your DM. Keep an eye out there for a response from us shortly.,,,how_to_settings,True,lr_override,0.1994
93,1220468,hi @AppleSupport my mac pro won't read my sd card pls send help,"@406348 Hi there. We'd like to help. Are you using a built in SD Card Reader, or an adapter? Also, to help isolate things do you have another SD Card that we can use to test things?",,,hardware_accessory,False,expert_audit,0.2635
94,356423,@AppleSupport Ok thank you...,"@200628 You're welcome. Reach back out if you have any other questions, or need us in the future.",,,ios_software_bug,False,lr_override,0.4673
95,1073396,@AppleSupport thanks for the help!,"@373274 You're very welcome! Any other questions, let us know. We're here from 5am until 8pm Pacific time, and always happy to help.",,,ios_software_bug,True,lr_override,0.3355
96,1543292,@478104 @22531 Also @AppleSupport can you tell me why I corrects to I️ every time I type it anywhere? It did it to @478104 in her last tweet too,@478103 We're glad you asked. Meet us in DM. We can take a look at the issue there. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.6874
97,1077279,Thanks @115858 for ruining my phone with this new update👌,"@374156 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT",,,ios_software_bug,False,rule_based,1.0
98,2356635,"@115858 -- What's up with the ""I"" not working on some iPhones? How do you fix?",@570658 We have some great news. We've recently released iOS 11.1.1 which should address the autocorrect issue. You can read more here: https://t.co/xXaXeeSRt9,,,ios_software_bug,False,rule_based,1.0
99,2438490,"How can @115858 charge you £40 for a membership you don't want, and not allow a refund only one day into that membership???😂 now I'm stuck with it for a year...",@699439 We understand your concerns and point you in the right direction. Please visit us here for further assistance: https://t.co/SDIe7UiyJN,,,app_store_billing,True,rule_based,0.6667
100,1924456,@AppleSupport I’d really like to not restart my iPhone 8 everytime I would like to download and app... 😒😒,@572825 We want to be sure you can enjoy your iPhone 8. We're happy to help! Why do you have to restart it? DM us and let us know. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.5378
101,1990236,What’s Going On With The Keyboard And These Symbols? I️ @AppleSupport,"@589002 Let's look into this together. Send us a DM and let us know which device you're experiencing this behavior with, https://t.co/GDrqU22YpT",,,ios_software_bug,False,rule_based,1.0
102,1699794,yo...... @115858..... i need this phone issue fixed reallll quick,@515473 We're here to help. Can you tell us what's going on with your iPhone?,,,ios_software_bug,False,lr_override,0.6047
103,2408628,@115858 thanks for breaking the GarageBand app on everything other that the X it seems. Not functional on mine anymore.,@692602 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT,,,ios_software_bug,False,lr_override,0.4594
104,1407808,@AppleSupport using the most recent update - macbook pro and iphone 7. the radio works on the iphone but doesn’t even play on the macbook,@447235 When did the issue start? Have you tried any troubleshooting yet?,,,ios_software_bug,False,rule_based,1.0
105,622708,@AppleSupport After unlocking some apps won’t rotate. Mostly iMessages,@267800 Thanks for the detail. Could you let us know which iOS you have installed on which iPhone? You can determine the iOS at Settings &gt; General &gt; About. Would you mind also letting us know which country you are in? Our options are a little different around the globe.,,,app_service_issue,False,rule_based,1.0
106,1648428,Wtfffff is this shit @115858 I️,@503590 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,ios_software_bug,False,lr_override,0.7163
107,1714094,So annoyed that ever since I downloaded iOS 11 I haven’t been able to log into use my Apple ID @AppleSupport,@519085 Let's look into this for you. What happens when you attempt to log in? Let us know in DM. https://t.co/GDrqU22YpT,,,account_access_security,True,rule_based,0.5
108,2054662,"I am able to stream and control tracks over #Bluetooth but with #IOS11 now not able to control tracks, see track info or use #Siri @115858",@547175 Let's take a look at this together. Have you already updated to iOS 11.0.2? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,,,connectivity_network,True,lr_override,0.3611
109,2732934,@AppleSupport Issue is on iPhone6s. I am facing issue for email alerts.,@766048 Do you happen to use our Mail app at all or just the Gmail app?,,,ios_software_bug,True,lr_override,0.4253
110,2689527,@AppleSupport to share iCloud Storage with my family the devices requires to have lates OS versions either Mac or iOS?,"@413797 Thank you for reaching out to us. To share iCloud storage in Family Sharing, the iOS devices must be using iOS 11 or later, and Macs must be on macOS 10.13 High Sierra or later. You can find more information here: https://t.co/cRKbdj0ZXe",,,app_service_issue,False,lr_override,0.7385
111,849887,@AppleSupport Yes exactly i tried 3-4 times but didnt worked,@321939 Have you tried more than one cord?  Are you charging via an outlet or plugged into a computer?,,,ios_software_bug,True,lr_override,0.3709
